product_name,barcode,ingredients,calories,sugar,fat,proteins,saturated_fat,fibers,sodium
Nutella,3017620425035,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten",539.0,56.3,30.9,6.3,7.834678064820691,11.96713136611336,369.7335276636138
Nutella,3017620422003,"Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.",539.0,56.3,30.9,6.3,11.269416231632974,8.251238564684787,487.598061021707
Redbull,90162602,"Carbonated Water, Sugar, Glucose, Citric Acid, Taurine, Natural flavors, Artificial Flavors, Sodium Bicarbonate, Magnesium Carbonate, Artificial Colors, Caffeine, Niacinamide, Pyridoxine Hci, Calcium Pantothenate, Vitamin B12.",46.0,11.0,13.53,7.3,3.7786036649579877,6.459176545689398,81.08204337380755
Energizant HELL,5999884034469,"Apă,  zahăr, acid alimentar (acid citric); dioxid de carbon (min 0,3% taurina (0,38%); substanță de reglare a acidității (citrat de Valoare nutritională generala sodiu); cafeina (0,03%); aromă: coloranți (caramel Energie: . 134153/289 amoniu); vitamine (niacina (83), acid bantotenic (B5), Grăsime:... - piridoxină (B6), riboflavins (R2 m CONTINUT RIDICAT DE CArCIn balamina (812)]. din care acizi graşi săturati",46.0,11.0,13.53,7.3,11.269416231632974,5.869966118231777,63.3054383534348
Sting,8902080000227,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331), SEQUESTERANTS (452(1), 385),TAURINE, CAFFEINE (0.03%), PRESERVATIVES (211, 202), SWEETENERS (955, 950), INOSITOL, VITAMINS PREMIX. CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (129) AND ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",28.0,6.8,13.53,7.3,19.01921469755733,4.3936513909708745,310.38923567146895
Maggi,8901058000290,"NOODLES: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412). Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). MASALA TASTEMAKER®: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chilli powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330). Colour (150d), Mineral and Wheat gluten. Allergen Note: Contains Wheat & Nut. May contain Milk, Mustard, Oats And Soy.",384.0,1.86,12.6,8.14,14.293571265737599,3.5328865655670096,178.0306327286409
Nutella,80177425,,533.0,56.3,30.9,6.3,0.6058406222074942,2.9238337442369144,89.60550478004821
Kurkure,8901491100519,"Cereal Products (66%) (Rice Meal (43.5%), Corn Meal (23%)), Edible Vegetable Oil (Palmolein),*Seasoning (~Spices and Condiments, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Black Salt, Tomato Powder, Acidity Regulators (330, 296, 334), Colour(160c), Maltodextrin) , Gram Meal (0.5%).",555.0,1.4,33.6,6.4,12.27587260497535,10.936300209741267,265.33712799426144
Parachnute 100% Pure Coconut Oil,8901088000451,,900.0,1.0,100.0,1.0,16.665608551928393,10.648319644525921,200.8810364567867
Ginger Crystallized In Dark Chocolate,716270001660,"dark chocolate (cocoa liquor*, sugar, cocoa butter*, soy lecithin, vanilla), crystallized ginger (ginger, sugar)",500.0,40.0,33.33,6.67,2.5285608734110987,9.04903877488902,81.08204337380755
